habitat,veil-type,cap-color,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,cap-surface,cap-shape,stalk-root,class
urban,partial,brown,smooth,smooth,white,white,one,fibrous,sunken,equal,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,sunken,equal,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
urban,partial,brown,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
grasses,partial,white,fibrous,smooth,white,white,one,smooth,convex,equal,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
woods,partial,brown,smooth,smooth,gray,white,one,fibrous,convex,bulbous,edible
urban,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,convex,equal,edible
grasses,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
grasses,partial,gray,fibrous,fibrous,white,white,one,fibrous,convex,equal,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,convex,equal,edible
urban,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
grasses,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
urban,partial,brown,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,brown,fibrous,fibrous,white,white,one,smooth,convex,equal,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,yellow,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,brown,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
woods,partial,white,smooth,smooth,white,white,one,fibrous,convex,bulbous,edible
urban,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,gray,fibrous,fibrous,white,white,one,fibrous,flat,equal,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
urban,partial,brown,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
grasses,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
woods,partial,white,smooth,smooth,white,white,one,smooth,convex,bulbous,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,white,fibrous,fibrous,white,white,one,smooth,convex,equal,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,flat,equal,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,yellow,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
woods,partial,white,smooth,smooth,white,white,one,smooth,flat,bulbous,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
woods,partial,yellow,smooth,smooth,white,white,one,fibrous,convex,bulbous,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
paths,partial,yellow,smooth,scaly,white,white,one,scaly,convex,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
woods,partial,brown,smooth,smooth,gray,pink,one,fibrous,convex,bulbous,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
woods,partial,yellow,smooth,smooth,white,white,one,fibrous,convex,bulbous,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,gray,smooth,fibrous,white,white,one,smooth,convex,equal,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
paths,partial,yellow,smooth,scaly,white,white,one,scaly,flat,rooted,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,yellow,smooth,scaly,white,white,one,scaly,flat,rooted,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,convex,equal,edible
grasses,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
paths,partial,yellow,smooth,scaly,white,white,one,scaly,flat,rooted,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
woods,partial,white,smooth,smooth,white,white,one,fibrous,flat,bulbous,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,sunken,equal,edible
woods,partial,yellow,smooth,smooth,white,white,one,smooth,flat,bulbous,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,flat,equal,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,convex,equal,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
woods,partial,white,smooth,smooth,white,white,one,smooth,convex,bulbous,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
woods,partial,white,smooth,smooth,white,white,one,smooth,flat,bulbous,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,flat,equal,edible
woods,partial,white,smooth,smooth,white,white,one,smooth,flat,bulbous,edible
grasses,partial,yellow,smooth,scaly,white,white,one,scaly,flat,rooted,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,sunken,equal,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
woods,partial,yellow,smooth,smooth,white,white,one,fibrous,flat,bulbous,edible
grasses,partial,brown,smooth,smooth,white,white,one,smooth,flat,equal,poisonous
urban,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
paths,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
grasses,partial,yellow,smooth,scaly,white,white,one,scaly,convex,rooted,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,white,fibrous,smooth,white,white,one,fibrous,flat,equal,edible
grasses,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
grasses,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
grasses,partial,gray,smooth,smooth,white,white,one,smooth,convex,equal,edible
grasses,partial,brown,fibrous,smooth,white,white,one,smooth,flat,equal,edible
woods,partial,white,smooth,smooth,white,white,one,fibrous,convex,bulbous,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,flat,equal,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,flat,equal,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
woods,partial,white,smooth,smooth,white,white,one,fibrous,convex,bulbous,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,sunken,equal,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,convex,equal,edible
grasses,partial,white,fibrous,smooth,white,white,one,fibrous,convex,equal,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
paths,partial,yellow,smooth,scaly,white,white,one,scaly,flat,rooted,edible
urban,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
urban,partial,gray,smooth,smooth,white,white,one,fibrous,flat,equal,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,convex,equal,edible
paths,partial,yellow,smooth,scaly,white,white,one,scaly,flat,rooted,edible
paths,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
paths,partial,brown,smooth,scaly,white,white,one,scaly,flat,rooted,edible
grasses,partial,brown,smooth,smooth,white,white,one,smooth,flat,equal,poisonous
grasses,partial,white,fibrous,smooth,white,white,one,fibrous,convex,equal,edible
meadow,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,sunken,equal,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
woods,partial,white,smooth,smooth,white,white,one,smooth,flat,bulbous,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,gray,smooth,fibrous,white,white,one,fibrous,flat,equal,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
grasses,partial,yellow,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,brown,smooth,smooth,white,white,one,fibrous,flat,equal,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,bell,club,edible
urban,partial,gray,smooth,smooth,white,white,one,fibrous,flat,equal,edible
woods,partial,yellow,smooth,smooth,white,white,one,fibrous,convex,bulbous,edible
meadow,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,flat,equal,edible
grasses,partial,gray,fibrous,smooth,white,white,one,fibrous,convex,equal,edible
paths,partial,yellow,smooth,scaly,white,white,one,scaly,convex,rooted,edible
woods,partial,white,smooth,smooth,white,white,one,smooth,flat,bulbous,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
paths,partial,yellow,smooth,scaly,white,white,one,scaly,flat,rooted,edible
urban,partial,brown,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
woods,partial,white,smooth,smooth,white,white,one,fibrous,convex,bulbous,edible
grasses,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
meadow,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,bell,club,edible
woods,partial,yellow,smooth,smooth,white,white,one,smooth,convex,bulbous,edible
woods,partial,yellow,smooth,smooth,white,white,one,smooth,convex,bulbous,edible
grasses,partial,white,fibrous,smooth,white,white,one,fibrous,convex,equal,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,bell,club,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,convex,equal,poisonous
grasses,partial,yellow,smooth,smooth,white,white,one,scaly,convex,club,edible
grasses,partial,gray,smooth,fibrous,white,white,one,smooth,flat,equal,edible
grasses,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
meadow,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
meadow,partial,white,smooth,smooth,white,white,one,smooth,convex,club,edible
woods,partial,yellow,smooth,smooth,white,white,one,fibrous,flat,bulbous,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,white,smooth,smooth,white,white,one,scaly,bell,club,edible
grasses,partial,brown,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
urban,partial,brown,smooth,smooth,white,white,one,fibrous,convex,equal,edible
grasses,partial,yellow,smooth,smooth,white,white,one,smooth,convex,club,edible
grasses,partial,yellow,smooth,scaly,white,white,one,scaly,convex,rooted,edible
grasses,partial,brown,smooth,smooth,white,white,one,smooth,convex,equal,poisonous
